ts_utc,source,kind,asset,detail,price_at_signal,ref
2026-08-21T17:15:57Z,price,pct_move,BTC,moved up 6.73% (threshold 4.0%),77535.000000,
2026-08-21T18:21:32Z,price,pct_move,HOOD,moved up 13.90% (threshold 4.0%),108.471802,
2026-08-21T18:21:32Z,price,pct_move,MRNA,moved up 7.59% (threshold 5.0%),139.490005,
2026-08-21T18:21:32Z,price,pct_move,REMX,moved up 6.28% (threshold 4.0%),80.769997,
2026-08-21T18:21:32Z,price,pct_move,USAR,moved up 12.13% (threshold 7.0%),19.275000,
2026-08-21T18:21:32Z,price,pct_move,INFQ,moved up 11.13% (threshold 8.0%),13.795000,
2026-08-21T22:35:05Z,price,pct_move,HOOD,moved up 13.54% (threshold 4.0%),108.129997,
2026-08-21T22:35:05Z,price,pct_move,MRNA,moved up 11.94% (threshold 5.0%),145.130005,
2026-08-21T22:35:05Z,price,pct_move,REMX,moved up 6.25% (threshold 4.0%),80.750000,
2026-08-21T22:35:05Z,price,pct_move,USAR,moved up 12.04% (threshold 7.0%),19.260000,
2026-08-21T22:35:05Z,price,pct_move,INFQ,moved up 13.75% (threshold 8.0%),14.120000,
2026-08-21T23:18:11Z,price,pct_move,BTC,moved up 7.80% (threshold 4.0%),78586.000000,
2026-08-22T02:39:59Z,price,pct_move,HOOD,moved up 13.54% (threshold 4.0%),108.129997,
2026-08-22T02:39:59Z,price,pct_move,MRNA,moved up 11.94% (threshold 5.0%),145.130005,
2026-08-22T02:39:59Z,price,pct_move,REMX,moved up 6.25% (threshold 4.0%),80.750000,
2026-08-22T02:39:59Z,price,pct_move,USAR,moved up 12.04% (threshold 7.0%),19.260000,
2026-08-22T02:39:59Z,price,pct_move,INFQ,moved up 13.75% (threshold 8.0%),14.120000,
2026-08-22T06:46:21Z,price,pct_move,HOOD,moved up 13.54% (threshold 4.0%),108.129997,
2026-08-22T06:46:21Z,price,pct_move,MRNA,moved up 11.94% (threshold 5.0%),145.130005,
